site_name,disturbance,pft
US-Tw3,undisturbed,12.0
US-Tw4,undisturbed,11.0
US-Twt,undisturbed,12.0
US-UMB,1914-01-01,4.0
US-UMd,1921-01-01,4.0
US-Var,undisturbed,10.0
US-WCr,1910-01-01,4.0
US-WPT,undisturbed,11.0
US-Whs,undisturbed,7.0
US-Wi0,1995-01-01,1.0
US-Wi1,1988-01-01,4.0
US-Wi2,1981-01-01,1.0
US-Wi3,1937-01-01,4.0
US-Wi4,1938-01-01,1.0
US-Wi5,1995-01-01,1.0
US-Wi6,1990-01-01,7.0
US-Wi7,2000-01-01,7.0
US-Wi8,2000-01-01,4.0
US-Wi9,1989-01-01,1.0
US-Wkg,undisturbed,10.0
ZA-Kru,undisturbed,9.0
ZM-Mon,1920-01-01,4.0
